Parts,Link/STL,Amount,FIlimant ,Time ,Price,,Total:,
Commercial parts:                                                      ,,,,,,,,
Threaded Rod 1/4 in. x 6 ft  ,https://www.homedepot.com/p/Everbilt-1-4-in-x-6-ft-Zinc-Plated-Steel-Coarse-Threaded-Rod-23011/332734609,x4,0,0,$23.92,,,
Hex Nut 1/4 in.,https://www.homedepot.com/p/1-4-in-20-Zinc-Plated-Hex-Nut-25-Pack-802344/204274091,x1,0,0,$2.18,,Estimate cost:,
Concrete Mix 80 lb. ,https://www.homedepot.com/p/Quikrete-80-lb-Concrete-Mix-110180/100318511,x1,0,0,$5.98,,$473.94,
MGN12 Linear Rail Guide 500mm ,https://www.amazon.com/ReliaBot-Linear-Carriage-Printer-Machine/dp/B07VFPMMDG/ref=sr_1_3?crid=2ZHUE2SA5ESZW&dib=eyJ2IjoiMSJ9.Ld5P-xLhohuVZFyM-CoM-TbnlqBAMUcf4_XFYglRPTJQXsjPWE0yz9D0fSIptZMqmz8QIiY8nHC9sF1BdrRRzDnEnhACMJ9HvfhFGIDTTY6j78Ee4SpCyW9UMXO0UfWZdBx5jJzl0A2HmptZ7qwLF0KEDO1aXQ6YZGQyB_zerjixT8ygltJ1PVYeixIcqcDyfqO0utgfdmeP12c8N2605VxA_p9MQQ_JouYX6a1PMqk.60b_i_MXzR07guOzCIRiB2JhpMcY3JGcpLI__KoIKI4&dib_tag=se&keywords=mgn12%2Blinear%2Brail%2B500%2Bmm&qid=1770166692&sprefix=mgn12%2Blinear%2Brail%2B500%2Bmm%2B%2Caps%2C129&sr=8-3&th=1,x2,0,0,$81.98,,Time:,
Nema 17 Stepper,https://www.amazon.com/STEPPERONLINE-Stepper-Bipolar-42x42x38mm-Connector/dp/B0B38GX54H/ref=sr_1_7?crid=14O0NCQAMLSXK&dib=eyJ2IjoiMSJ9.YPeD5MXkwZKQQREhND_S9jVTaEArjh5uNpCA-KrctnUq-C92CrRrx54K5lQ759GKVO3tclOgqBiN3jdV8SJFzcUqahpkRbiYOIIsTKiIQvmhjwbxovTvZXxZBcWDyX0P9J_BUBsgm710nIqX9NZanGTgM1XuyBhdiwsQtXUe17MvbgoK9XhQEBFhmLgtGLpe6bihXEeDwBK8PnwbHdFvvVO-z3zCSHSLmIio5lODsMI.rl08RqczKKrlcEaf8zECHQJ9nnclbl1ElfI37FDZMso&dib_tag=se&keywords=nema%2B17&qid=1770167098&sprefix=nema%2B1%2Caps%2C188&sr=8-7&th=1,x3 ,0,0,$32.97,,199.6,hr
Aluminum 5mm Bore 2GT Pulley,https://us.amazon.com/Aluminum-Pulley-Synchronous-Printer-Machine/dp/B09V5C1F7C/ref=zg_bs_g_16411441_d_sccl_20/136-6347685-6833042?psc=1,x2 ,0,0,$25.98,,Filament:,
GT2 Belt 150mm Length 75 Teeth,https://www.amazon.com/uxcell-Timing-Closed-160-2GT-6-Printer/dp/B0CMGSTNRX/ref=sr_1_1?crid=2WQNRY72YN4D6&dib=eyJ2IjoiMSJ9.egflrWxrvBYe9W8226FA32sLmAhMFWvrTc2aCA5GmCrUdVAar_ACATc2rvkB7oD73czh9lgeWwYbr6_aBPadlWhEgf3m7nuLFiPzOr5_0S8A0mExFKnR7d5n50ida-HA1Q8F90skxRrqZeID5XfQTTYQpM9IkhzB3BApEI8i6bvMDI_os-ZC4qS-oBSmQylhxmJfkeV8hmpjyP1zjsiPKAtP7m88zMG3lyZI6i8-VO44DVtyGxHXqp49Y03h4506ajtpVTO5sEV6nThMMke-bS6iOL1CQVtnDW0gcNTCH5Q.BYenDKjEPdTepuhh41iw0myRrI3hs7CBHYYwbn9a_kE&dib_tag=se&keywords=160.4%2B2m%2Bgt%2Bbelt&qid=1769359339&s=industrial&sprefix=160.4%2B2m%2Bgt%2Bbelt%2Cindustrial%2C227&sr=1-1&th=1,x1,0,0,$9.99,,3866,g
5mm x 100mm steel rod ,https://www.amazon.com/uxcell-250mm-Stainless-Steel-Solid/dp/B082ZNZ8G2/ref=sr_1_1?crid=B0K6N7J8A2DG&dib=eyJ2IjoiMSJ9.o8PuHkOI8ByG6b7LTzzxmWnBhMfIFcHGwnW33SOxt-B_7F2l779qzEctA52m0T8Tx6Nr9NUgavCuBvLj9TwkM4H-pe_-ybjMXh_8aFEq4VroZOJ06PGmiAV6rMNn2Twh4bkkiY4neFqaEkQT_cJRd_ORLCTp1oroiqPFNH7Z0jkxED9EWn7MVQhfrVY0px5wbDnLAubUF_yqwXZ6NUNaJ8JSRjm7Pzi37G3N-1KkU-I.JWa5nCp1AQzgtgZhwt2IyPNYpMvihT5y_7gJVBgxd3I&dib_tag=se&keywords=5mm%2Bshaft%2B85mm%2Blength&qid=1770167826&s=industrial&sprefix=5mm%2Bshaft%2B85mm%2Blength%2Cindustrial%2C100&sr=1-1&th=1,x1,0,0,$6.99,,3.866,kg
10 Teeth HTD 5M,https://www.amazon.com/Teeth-Synchronous-Pulley-Timing-10Teeth/dp/B09JNFLS6T?th=1,x2,0,0,$33.70,,,
Ball Bearings,https://us.amazon.com/HARFINGTON-Groove-Bearings-Shielded-Bearing/dp/B0CGDVT2P7/ref=sr_1_2?crid=1PW3T0OZRE6Z4&dib=eyJ2IjoiMSJ9.mJQBk5trNHzB3bVB-6JQcDSgYHmXUqm6zEnLH7_48i5iJtlW3FooLGbc4NonQeok4PR6SSCuRgEDkz4vgCWtqbY1ZR7zooWuVmZ30jz8Vt4a_sm7zvPHHyS6zU9ohw4iAcM_l3siKZEmafXpxxTURbRo6e45zcTgHZj5hiOLAvRMmjk2hjTzkOqvRlCSHQ1oZT8wjWgJSOGbZ0RJJ-7T7kIzT_zgNhEwGL8faO7JWiWSZwjOR_wedmDLbe0EKPEJIXfkzwKl_eDyLOw5NU1ZKSa5xrhlz1NMby-sBNiX1K8.4KygyPivmI674iZaKYIpeUS2kGxD1Z7uM8RszwJa9Jc&dib_tag=se&keywords=30%2Bpack%2Bball%2Bbearings%2BID%2B5mm%2Bx%2BOD%2B14mm%2Bx%2BWidth%2B5mm&nsdOptOutParam=true&qid=1770395839&s=industrial&sprefix=30%2Bpack%2Bball%2Bbearings%2Bid%2B5mm%2Bx%2Bod%2B14mm%2Bx%2Bwidth%2B5mm%2B%2Cindustrial%2C184&sr=1-2&th=1,x1,0,0,$9.49,,,
Flanged Ball Bearings,https://www.amazon.com/F605ZZ-Miniature-Bearings-Shielded-Pre-Lubricated/dp/B0CRLGHJG9/ref=sr_1_3?crid=3U84WDX7EGLER&dib=eyJ2IjoiMSJ9.jMhNswXEXPMt_UG59-uiBq7qk69bBtyH_7Wry-9fqcj1dWBBmI3vpLd1DFwH8k6dAlZ0b1kFTY3z4iNYyaZPdvDxELAG7BeCfqlXwbc1x_QmaPLHfngdB-mRl_F18E2s0lrd3_GhXFhirhMziLhGV67wBNoGycIJxHR0qAdU_gPeM7OrwJ9vGNenufY-FAbEiL11Zp4mA98IXQhv9psFNy5w1mrEIS-_YlSRvMrqDH0.EYXT873vY2_wIoJFX5d4Ec854mfOpnV3dVYuICjLoTk&dib_tag=se&keywords=od%2B14mm%2B5mm%2Bid%2Bball%2Bbearing%2Bflanged&qid=1769362099&sprefix=od%2B14mm%2B5mm%2Bid%2Bball%2Bbearing%2Bflange%2Caps%2C157&sr=8-3&th=1,x1,0,0,$9.99,,,
150mm Lead Screw,https://www.amazon.com/LICTOP-Diameter-Printer-Set%EF%BC%88Lead-Bearing/dp/B07PPGLH56/ref=sr_1_5?crid=3GUV5U9QPDKFR&dib=eyJ2IjoiMSJ9.uBUwohl41yfGTY_n0hSYSYUgdjNb4lYOe0U9yYwttaX_XSNh0nxG4ELzhyo94vjk_4WH2FhF0mnYNekwyjUqXH0A3DUH7KNhg7wol1b__LFPBrWG9kI0721cWzLCCIxnX4vRYTK8yWee0EiucXU7QKUXZwuloP-QQo5EqjdHU8vb_if0lbNfyB7NqcPwpF-NPPVy0-KE65wU7dQreNMbS_iDCV1f6kBEWzFlQsavlnY.-uK1hvi-sEi46aWgKs3Kg_708Vk5ZIuZk6odpIxZB8E&dib_tag=se&keywords=lead%2Bscrew%2B180%2Bmm&qid=1769371723&sprefix=lead%2Bscrew%2B180%2Bmm%2Caps%2C124&sr=8-5&th=1,x1,0,0,$12.49,,,
