Parts,Link/STL,Amount,FIlimant ,Time ,Price,,Total:,
Commercial parts:                                                      ,,,,,,,,
Threaded Rod 1/4 in. x 6 ft  ,HomeDepot,x4,0,0,$23.92,,,
Hex Nut 1/4 in.,HomeDepot,x1,0,0,$2.18,,Estimate cost:,
Concrete Mix 80 lb. ,HomeDepot,x1,0,0,$5.98,,$473.94,
MGN12 Linear Rail Guide 500mm ,Amazon,x2,0,0,$81.98,,Time:,
Nema 17 Stepper,Amazon,x3 ,0,0,$32.97,,199.6,hr
Aluminum 5mm Bore 2GT Pulley,Amazon,x2 ,0,0,$25.98,,Filament:,
GT2 Belt 150mm Length 75 Teeth,Amazon,x1,0,0,$9.99,,3866,g
5mm x 100mm steel rod ,Amazon,x1,0,0,$6.99,,3.866,kg
10 Teeth HTD 5M,Amazon,x2,0,0,$33.70,,,
Ball Bearings,Amazon,x1,0,0,$9.49,,,
Flanged Ball Bearings,Amazon,x1,0,0,$9.99,,,
150mm Lead Screw,Amazon,x1,0,0,$12.49,,,
60 Teeth Pulley,Amazon,x1,0,0,$9.49,,,
Power Supply,Amazon,x1,0,0,$17.99,,,
CNC Shield,Amazon,x1,0,0,$15.99,,,
Emergency Stop,Amazon,x1,0,0,$13.99,,,
Timing Belt,Amazon,x1,0,0,$19.99,,,
500mm MGN12 Linear Rail,Amazon,x2,0,0,$57.98,,,
20x20 extrusion ,Amazon,x2,0,0,$7.90,,,
Makita router ,Makita,x1,0,0,N/A,,,
Heated  inserts ,Amazon,x1,0,0,$9.99,,,
Micro Limit Switch,Amazon,x1,0,0,$5.99,,,
M4 Screws Assortment Kit,Amazon,x1,0,0,$9.99,,,
M4 T Nuts,Amazon,x1,0,0,$5.99,,,
4kg pla ,Amazon,x1,0,0,$42.99,,,
3D Printed parts:                                                      ,,,,,,,,
Wall ,Github,x14,1876,98.5,,,,
Corner ,Github,x4,248,20,,,,
Cover ,Github,x14,392,21,,,,
Corner Cover,Github,x4,85,4,,,,
Rail Rider ,Github,x1,127,4.6,,,,
bearng cover,Github,x4,20,0.7,,,,
Z Axis base ,Github,x1,105,4.5,,,,
Z Axis rail,Github,x1,155,6,,,,
Router mount ,Github,x1,80,4,,,,
Belt clip,Github,x4,60,4,,,,
Z Axis top ,Github,x1,94,4.5,,,,
Rail Rider flip ,Github,x1,127,4.6,,,,
electronics box,Github,x2,395,19,,,,
stop position ,Github + Github,x1,2,0.2,,,,
elctronics box lid ,Github,x2,100,4,,,,
